Item	Quantity	Total Worth
Barrel of Sludge	4	7,400,000
Berries and Cream	1	6,524,000
Potato Seeds	152	6,384,000
Shovel	306	6,120,000
Meteorite	4	6,000,000
Rare Pepe	81	5,670,000
Duck	69	5,175,000
Menorah	2	5,000,000
Purple Plastic Bits	11	4,510,000
Junk	44	4,400,000
Treasure Map	2	4,082,000
Used Diaper	1	4,000,000
Fresh Bread	11	3,718,000
Lasso	8	3,616,000
Zig's Capybara	9	3,600,000
Spider	16	3,360,000
Broccoli	9	3,294,000
Worm	174	2,784,000
Stickbug	80	2,720,000
Like Button	2	2,666,000
Rabbit	125	2,625,000
Ant	60	2,100,000
Tumbleweed	3	1,572,000
Anti-Rob Pack	1	1,500,000
Cactus	3	1,500,000
Boar	26	1,014,000
Pepe Statue	6	864,000
Water Bucket	2	800,000
Golden Corndog	1	800,000
Fertilizer Bag	4	800,000
Gravestone	3	750,000
Pet Feces	5	640,000
Pet Food	3	600,000
Carrot	3	540,000
Mole Man	1	410,000
Multi Colored Plastic Bits	2	410,000
Christmas Tree	1	400,000
Legacy Common Fish	378	378,000
Hunting Rifle	3	252,000
Watering Can	3	222,000
Orange Plastic Bits	1	200,000
Corn Seeds	2	170,000
Legacy Rare Fish	144	144,000
Corndog	1	125,000
Hoe	1	119,000
Legacy Kraken	101	101,000
Keyboard	1	83,000
Legacy Legendary Fish	47	47,000
Legacy Exotic Fish	46	46,000
Legacy Jelly Fish	27	27,000
Legacy Fishing Bait	3	3,000
Legacy Fishing Pole	3	3,000
------------------------------
Total of all items:		34,698,445,000
